"Abies concolor",
"Amelanchier utahensis",
"Arctostaphylos viscida","Arctostaphylos viscida"
"Calocedrus decurrens","Calocedrus decurrens"
"Ceanothus cuneatus","Ceanothus cuneatus"
"Ceanothus integerrimus",
"Ceanothus leucodermis","Ceanothus leucodermis"
"Cercocarpus montanus var. glaber",
"Corylus cornuta",
"Keckiella breviflora",
"Lupinus albifrons",
"Pinus lambertiana",
"Pinus ponderosa","Pinus ponderosa"
"Pinus sabiniana",
"Prunus emarginata",
"Quercus chrysolepis","Quercus chrysolepis"
"Quercus douglasii",
"Quercus garryana",
"Quercus kelloggii",
"Quercus wislizeni","Quercus wislizeni"
"Rhamnus ilicifolia",
"Ribes roezlii",
"Sambucus racemosa var. melanocarpa",
"Senecio flaccidus var. douglasii",
